N,Closure,Seed,NRMSE_20ms,TotalRMSE_20ms,NRMSE_mean_20ms,NRMSE_50ms,TotalRMSE_50ms,NRMSE_mean_50ms,NRMSE_100ms,TotalRMSE_100ms,NRMSE_mean_100ms
2000,age_adapt_no_jensen,0,2.529811558784832,0.29718189519507054,0.03541882466815979,2.129427700828117,0.21406682219965434,0.025512978298300636,1.9739955597184147,0.1655788550961404,0.019734070386607145
2000,age_adapt_no_jensen,1,2.5907704710624535,0.30265604857703354,0.036071246911833464,2.1475849968124785,0.2138532793910558,0.025487527773153627,1.9596228763358678,0.16214201378183082,0.019324459700720928
2000,age_adapt_no_jensen,2,2.4954906782660347,0.2912988460609762,0.03471766928432364,2.1375721821606204,0.2119723229868322,0.02526335104446725,2.062712794452552,0.16822414842917444,0.020049342555852463
2000,age_adapt_jensen,0,2.5855337450564946,0.3024651022613859,0.03604848948890729,2.2118027674722125,0.22025659250731044,0.026250689420033498,2.096169260478028,0.17251653866227876,0.020560919537935606
2000,age_adapt_jensen,1,2.5749643932405095,0.29937769885510596,0.035680525619994186,2.187421338673958,0.21539310015557964,0.025671047168382137,2.0559475351663576,0.1662580179982707,0.019815014589940533
2000,age_adapt_jensen,2,2.5237407006414863,0.2931642690409593,0.03493999470363159,2.126616155610367,0.2091535210717392,0.024927399721660668,1.9985227221103719,0.16128978192250343,0.019222888739332707
4000,age_only,0,2.0222105410642968,0.23479431093626665,0.02798332828005656,1.7937190252921533,0.17573373086033087,0.02094435193482433,1.734292603917882,0.1387041123385098,0.016531076472359425
4000,age_only,1,2.012252356938477,0.23411266528596686,0.027902088177061943,1.7363958135482631,0.17102958113636416,0.020383700505582376,1.6526730023469351,0.13353056749954936,0.015914481449154114
4000,age_only,2,1.9958376597191887,0.23484324764275877,0.027989160669765038,1.7109284650014789,0.17221144000214417,0.02052455717493666,1.594635012539238,0.13391285228310087,0.015960043032618103
4000,age_adapt_no_jensen,0,2.1469871869953003,0.24791668771371497,0.029547283453048818,1.9756208142950948,0.19141720629934633,0.022813544761652673,1.971469516430595,0.15461218171497287,0.018427036923395722
4000,age_adapt_no_jensen,1,1.999749713777135,0.23977740600972738,0.028577225060329208,1.7680896006171476,0.18330122953056036,0.02184626390493763,1.6948170833096938,0.148304146483662,0.017675230714906072
4000,age_adapt_no_jensen,2,2.0665687079853376,0.2439094865882789,0.029069695967516736,1.8006911340938878,0.18194144508707372,0.021684201654278885,1.6431980017052874,0.13941123016558177,0.016615352408214643
4000,age_adapt_jensen,0,2.0412834484813307,0.23962623692222698,0.028559208379326795,1.7911748099277613,0.17910592769747266,0.021346258142612824,1.6686018309447377,0.1386115418838406,0.016520043711762657
4000,age_adapt_jensen,1,2.0513995295586542,0.2457806572252395,0.02929270640585859,1.8435154852048166,0.19039942020906084,0.022692242664639494,1.7409810254775033,0.15198738514624538,0.01811420760586168
4000,age_adapt_jensen,2,2.1306572003395803,0.2466461424401981,0.029395856932782117,1.9557707709068508,0.19030733046675483,0.02268126719645247,1.9063543609783764,0.15071637622292455,0.017962725826740456
8000,age_only,0,1.789412930205361,0.21029334155423127,0.02506324615939897,1.646180390080841,0.16422115330541615,0.019572256351314907,1.5554624442969525,0.12844061998994885,0.01530784974874605
8000,age_only,1,1.724364998859348,0.20303382756654803,0.024198040515101462,1.5691721222596624,0.15718783739483985,0.01873400951629502,1.4990864358865967,0.12441269490914335,0.014827792334347072
8000,age_only,2,1.7989597854994295,0.21553907672647535,0.0256884449932625,1.6626053659621065,0.1710202092175722,0.0203825835386545,1.6107195624346933,0.13894041133172283,0.01655923913214858
8000,age_adapt_no_jensen,0,1.8132402759750317,0.21409247045491947,0.025516035116602734,1.7083760277584135,0.17132607648224663,0.02041903750571774,1.631754883903688,0.13567204674806804,0.01616970789215125
8000,age_adapt_no_jensen,1,1.7832004618030728,0.20914345920630897,0.024926200525298894,1.6849805806463616,0.16718110883739914,0.019925030688203903,1.63884774389958,0.13364062399502796,0.015927598236481922
8000,age_adapt_no_jensen,2,1.7789954607877874,0.21018481390640686,0.025050311583665757,1.6326826252324316,0.1643384465047384,0.019586235625721364,1.5634502823986816,0.13070073768764862,0.01557721579613493
8000,age_adapt_jensen,0,1.788326004938015,0.21454845165491712,0.02557038000919484,1.6454380936286905,0.16972031642970217,0.020227659313843453,1.5586825055419287,0.13569860685301202,0.016172873386804152
8000,age_adapt_jensen,1,1.7543480267125031,0.20464664028599244,0.02439025926010638,1.5963912571741001,0.1574303913462794,0.01876291765645264,1.4986278116076432,0.12151020914185608,0.014481867376752004
8000,age_adapt_jensen,2,1.7693204853146263,0.20573931799427195,0.0245204871131287,1.6626620715017797,0.1627990782230607,0.019402770158443553,1.6500991342606497,0.13155996686179697,0.01567962071366516
16000,age_only,0,1.5793737279879345,0.18437477993156084,0.02197421212130025,1.5022299659225695,0.14789873294971345,0.01762691259354946,1.4847639237418147,0.11942043252164129,0.0142328029724133
16000,age_only,1,1.6674334868236729,0.20090522421705403,0.023944348651489453,1.6089843428603978,0.16589316440869992,0.019771530496435867,1.5958681478465502,0.13744566367953406,0.016381091654553197
16000,age_only,2,1.5786830534714884,0.18588527796567736,0.022154236765792326,1.4893780219321515,0.1487038845675258,0.01772287242301304,1.4332091019908397,0.1181979917857496,0.01408710966204746
16000,age_adapt_no_jensen,0,1.4926899914397505,0.17696639802670347,0.02109126405479481,1.3819201135815495,0.1397433592731886,0.016654936322375354,1.3005273896758567,0.1098592897996334,0.013093283899504224
16000,age_adapt_no_jensen,1,1.6918527440164424,0.20045513605951756,0.023890706105308992,1.6417783029632156,0.16503128399324946,0.0196688095978437,1.6152097058916937,0.13416806858183764,0.015990460300572735
16000,age_adapt_no_jensen,2,1.600534879451728,0.18934605525975767,0.02256670019703237,1.5185833853611923,0.15264592611613761,0.018192694039680615,1.4835443353917601,0.1233631225535995,0.0147027018768239
16000,age_adapt_jensen,0,1.5783221799204363,0.1873604949725242,0.02233005653596607,1.492056302023357,0.1508337898542157,0.017976719454507125,1.4465350742551901,0.12149203533474574,0.014479701380444686
16000,age_adapt_jensen,1,1.5124456782709772,0.18019578812566583,0.021476150225687416,1.4110359449158763,0.14367933888107312,0.017124035462945834,1.3504641539046058,0.11497552125430119,0.013703048181193238
16000,age_adapt_jensen,2,1.624677137958466,0.19129801604187413,0.022799339391474303,1.535609048895362,0.15329072849394856,0.018269543076363377,1.4825119803437934,0.12217149172244002,0.014560680562065451
