chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.045,2000.0,0.0015,0,joint_gaussian,7.371400000000001,-0.0015718260193666133,0.0814100384216432,0.08139486297536389,0.09381927553401578,0.867732541721947,0.8675707898197613,7.371400000000001,7.369828173980635,0.9999891853002031,0.9999891853002031,1.0814699796912741e-05,1.048296567305011e-05,1.0814699795252655e-05,91.93649120799091,2.0,False,0.001,0.0001,2.0,True,-2.0679515313825692e-25,2.3168098012032077e-12
0.045,2000.0,0.0015,1,mean_only,7.356533333333333,-0.23344023480038498,0.2547496665299716,0.10199533995959255,0.11341106289838178,2.2462505863138906,0.8993420690447288,7.356533333333333,7.12309309853295,0.9999819259988314,0.9999819259988314,1.8074001168599807e-05,1.578850690846891e-05,1.807400116689509e-05,28.40137653700367,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,1,variance_corrected,7.356533333333333,0.06757101548759752,0.12237109067285733,0.10202373105527718,0.11341106289838178,1.0790048831700298,0.8995924070184596,7.356533333333333,7.424104348820932,0.9999903895051808,0.9999903895051808,9.61049481917886e-06,9.560312774540081e-06,9.610494818757596e-06,30.017017181002302,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,1,joint_gaussian,7.356533333333333,0.011598091035463783,0.10267155523402986,0.10201437417593436,0.11341106289838178,0.9053045850211747,0.8995099029037489,7.356533333333333,7.368131424368799,0.9999891894095648,0.9999891894095648,1.0810590435172962e-05,1.0514735188953305e-05,1.0810590432453934e-05,53.81096144100593,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,1.4175673106769148e-11
0.045,2000.0,0.0015,2,mean_only,7.383233333333334,-0.26063536374467533,0.27879579142357624,0.09897626221058774,0.11184644010335555,2.49266575821229,0.8849299282044678,7.383233333333334,7.12259796958866,0.999981921918944,0.999981921918944,1.8078081056027706e-05,1.5896020291239234e-05,1.807808105450603e-05,27.93370115599828,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,2,variance_corrected,7.383233333333334,0.040355627419356166,0.10686345676890546,0.09895060246501705,0.11184644010335555,0.9554479934287994,0.8847005087830989,7.383233333333334,7.423588960752691,0.9999903871017136,0.9999903871017136,9.612898286381899e-06,9.626969484329964e-06,9.612898285481601e-06,30.901219210994896,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,2,joint_gaussian,7.383233333333334,-0.01561273371264371,0.10017356479027105,0.09894940944143481,0.11184644010335555,0.8956348069523019,0.8846898421621394,7.383233333333334,7.3676205996206905,0.9999891866854538,0.9999891866854538,1.0813314546220809e-05,1.0586902769533787e-05,1.0813314544094328e-05,47.24022459500702,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,8.419021446797157e-12
0.045,2000.0,0.0015,3,mean_only,7.373366666666667,-0.252097230466498,0.26823438183613324,0.09163334540511944,0.11693890514074512,2.2937993263515866,0.7836001653584113,7.373366666666667,7.12126943620017,0.9999819280076185,0.9999819280076185,1.8071992381463176e-05,1.5966809028829053e-05,1.8071992380591887e-05,30.015644697996322,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,3,variance_corrected,7.373366666666667,0.04884196794397983,0.10357911524754526,0.09134054566742807,0.11693890514074512,0.8857541048710837,0.7810962960316122,7.373366666666667,7.422208634610649,0.9999903904459774,0.9999903904459774,9.609554022627087e-06,9.672516322029216e-06,9.609554019271183e-06,30.970757731003687,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,3,joint_gaussian,7.373366666666667,-0.007116012717961535,0.09167160104296736,0.09139499330258076,0.11693890514074512,0.783927307448564,0.7815619035647694,7.373366666666667,7.366250653948708,0.9999891903856166,0.9999891903856166,1.0809614383378019e-05,1.0636534177475071e-05,1.0809614382747369e-05,51.81416344900208,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,7.2085618504573e-12
0.045,2000.0,0.0015,4,mean_only,7.389566666666668,-0.26445428924304365,0.2762344989096545,0.07980869181251228,0.09076886407207925,3.0432737231381197,0.8792518517047483,7.389566666666668,7.1251123774236245,0.999981902562726,0.999981902562726,1.8097437273989492e-05,1.587326002405793e-05,1.8097437272548014e-05,30.019855198988807,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,4,variance_corrected,7.389566666666668,0.036636362407926656,0.08790451182992537,0.07990607079297883,0.09076886407207925,0.9684434495084205,0.8803246753151575,7.389566666666668,7.426203029074594,0.9999903765003422,0.9999903765003422,9.623499657829271e-06,9.575776558835938e-06,9.623499657212294e-06,30.941807697992772,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2000.0,0.0015,4,joint_gaussian,7.389566666666668,-0.019353145897841924,0.08219205867018568,0.07988110072038372,0.09076886407207925,0.9055093892649934,0.8800495801836895,7.389566666666668,7.370213520768826,0.9999891748828301,0.9999891748828301,1.0825117169876997e-05,1.0536711700745045e-05,1.0825117167834082e-05,61.097460193996085,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,7.217390546388055e-12
0.045,2500.0,0.0012,0,mean_only,7.3709,-0.24882909784751014,0.2619487363604755,0.08186098304591821,0.10146924359118305,2.581557988308853,0.8067566106606056,7.3709,7.122070902152491,0.9999818248597043,0.9999818248597043,1.817514029567313e-05,1.6178737073139915e-05,1.817514029431473e-05,30.37017013700097,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,0,variance_corrected,7.3709,0.05214067498142261,0.09701104070205385,0.08180765264067415,0.10146924359118305,0.9560635052421286,0.8062310286876194,7.3709,7.423040674981425,0.9999903328336184,0.9999903328336184,9.667166381621684e-06,9.807055844310534e-06,9.667166379225053e-06,30.684743478996097,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,0,joint_gaussian,7.3709,-0.0015680312948650852,0.08183195269728878,0.08181692832238101,0.10146924359118305,0.8064705106799416,0.8063224424143663,7.3709,7.3693319687051355,0.9999890865761177,0.9999890865761177,1.0913423882263906e-05,1.081317724835379e-05,1.0913423881214356e-05,47.1410726460017,2.0,False,0.001,0.0001,2.0,True,-2.0679515313825692e-25,2.1633577569589062e-12
0.045,2500.0,0.0012,1,mean_only,7.357500000000001,-0.235977970571443,0.25697778889342254,0.1017446872791677,0.1254715321437847,2.048096364990089,0.8108985802657841,7.357500000000001,7.121522029428559,0.9999818612185732,0.9999818612185732,1.813878142675751e-05,1.6089577572028915e-05,1.8138781425530153e-05,10.381522666008095,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,1,variance_corrected,7.357500000000001,0.06497087565003681,0.12056758284928358,0.10156440001982149,0.1254715321437847,0.9609158411417068,0.8094617024635778,7.357500000000001,7.422470875650039,0.9999903532192724,0.9999903532192724,9.646780727567972e-06,9.75026834903295e-06,9.646780726534258e-06,11.632736281986581,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,1,joint_gaussian,7.357500000000001,0.011265356076644095,0.10221741165068232,0.10159473902240936,0.1254715321437847,0.8146661629471917,0.8097035023529192,7.357500000000001,7.368765356076644,0.9999891093142477,0.9999891093142477,1.0890685752329432e-05,1.0751783040340005e-05,1.0890685750500297e-05,38.210146418001386,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,1.1249396426297912e-11
0.045,2500.0,0.0012,2,mean_only,7.381033333333335,-0.2600368931989906,0.27908342097566036,0.10133296620002008,0.12495197710332169,2.2335254507008617,0.8109752926616659,7.381033333333335,7.120996440134343,0.9999818463882674,0.9999818463882674,1.815361173262975e-05,1.609899779938235e-05,1.8153611732129176e-05,11.341084001993295,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,2,variance_corrected,7.381033333333335,0.040889987408854134,0.10908582559599683,0.101132221747888,0.12495197710332169,0.8730220051323776,0.8093687198263589,7.381033333333335,7.421923320742188,0.9999903449735733,0.9999903449735733,9.655026426691471e-06,9.713950134983737e-06,9.655026424858739e-06,10.21005581600184,2.0,True,0.001,0.0001,2.0,False,0.0,0.0
0.045,2500.0,0.0012,2,joint_gaussian,7.381033333333335,-0.012810693637094878,0.10197124750704864,0.10116334042863684,0.12495197710332169,0.8160835056073543,0.8096177649512961,7.381033333333335,7.36822263969624,0.999989100005322,0.999989100005322,1.0899994677959768e-05,1.0711841046772157e-05,1.0899994675424019e-05,32.43238919098803,2.0,False,0.001,0.0001,2.0,True,-4.1359030627651384e-25,6.218733064195541e-12
0.045,2500.0,0.0012,3,mean_only,7.379533333333335,-0.2525707213949761,0.26979567123752896,0.09485639099465124,0.13436626899805962,2.007912203333004,0.7059538952891596,7.379533333333335,7.126962611938359,0.9999822176154161,0.9999822176154161,1.778238458394199e-05,1.6079396455200503e-05,1.778238458159588e-05,9.313407535999431,2.0,False,0.001,0.0001,2.0,False,0.0,0.0
