J,g,Closure,Seed,N,Duration_s,MC_runtime_s,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms
0.0001,0.01606,variance_corrected,13,5000,10.0,16.547132644001977,0.9999984353901566,0.9999984353901566,1.5646098433519384e-06,1.83146364375045e-06,1.5646098407718176e-06,10.089227194999694,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.27703783501793816,0.2946954999330498,0.10047624420410928,0.11084013350316231,2.6587436393212394,0.9064969612405118,8.123575,8.400612835017942
0.0001,0.01606,joint_gaussian,13,5000,10.0,16.547132644001977,0.9999972145268562,0.9999972145268562,2.78547314380706e-06,2.9125676480014614e-06,2.7854731405879436e-06,31.435511038987897,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3472981897409429e-11,0.020079230944810386,0.10238016613088224,0.1003918467887309,0.11084013350316231,0.9236741502838527,0.9057355275187096,8.123575,8.143654230944811
0.0002,0.03212,variance_corrected,7,5000,10.0,15.21825080900453,0.9999984517363594,0.9999984517363594,1.5482636406272121e-06,1.8232460763050833e-06,1.548263638445692e-06,9.651273875002516,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.26964283003820216,0.28650354880302065,0.09683505401306934,0.10295293241799215,2.782859526912815,0.9405759674713875,8.135375000000002,8.405017830038203
0.0002,0.03212,joint_gaussian,7,5000,10.0,15.21825080900453,0.9999972414667263,0.9999972414667263,2.7585332736945745e-06,2.900102474108001e-06,2.758533270637805e-06,42.434331438998925,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.665061331925508e-11,0.012388403306589614,0.09736197112286295,0.09657060051818295,0.10295293241799215,0.9456940063403952,0.9380072840091943,8.135375000000002,8.147763403306593
0.0002,0.03212,variance_corrected,11,5000,10.0,21.476760502002435,0.9999984518635504,0.9999984518635504,1.5481364495917305e-06,1.8045648332558786e-06,1.5481364480095729e-06,17.63022466300754,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2623420131114694,0.27636636640520684,0.08691971373997222,0.10599906958079053,2.607252757011848,0.8200044970557371,8.143350000000002,8.405692013111471
0.0002,0.03212,joint_gaussian,11,5000,10.0,21.476760502002435,0.9999972416484667,0.9999972416484667,2.758351533294068e-06,2.871641745468394e-06,2.758351528288541e-06,43.7185516969912,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3449269124585902e-11,0.005065396177587897,0.08715071185351923,0.08700338118797002,0.10599906958079053,0.8221837436704534,0.8207938195311956,8.143350000000002,8.148415396177592
0.0002,0.03212,variance_corrected,13,5000,10.0,20.880630346990074,0.9999984534181294,0.9999984534181294,1.5465818705706624e-06,1.816049072367051e-06,1.5465818694925153e-06,16.616472395005985,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.27666342779759734,0.2948917980679008,0.10207115306002565,0.11262595337924679,2.6183289838613657,0.9062844752693917,8.129325000000001,8.405988427797599
0.0002,0.03212,joint_gaussian,13,5000,10.0,20.880630346990074,0.999997244356679,0.999997244356679,2.7556433209730002e-06,2.889796264893413e-06,2.755643318796e-06,44.6716072630079,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3463433234353858e-11,0.019374272911607215,0.10380504888572553,0.10198100667925586,0.11262595337924679,0.9216796463971452,0.9054840702289456,8.129325000000001,8.14869927291161
0.0005,0.0803,variance_corrected,7,5000,10.0,19.966755500994623,0.9999985046928619,0.9999985046928619,1.4953071381107463e-06,1.7783606720331144e-06,1.4953071361644273e-06,12.363149270997383,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2704082028006605,0.28931839739810533,0.10288118842200872,0.10964418021347025,2.6387027276306028,0.9383187344891957,8.150725000000003,8.421133202800661
0.0005,0.0803,joint_gaussian,7,5000,10.0,19.966755500994623,0.9999973292289643,0.9999973292289643,2.670771035662156e-06,2.8336273223746804e-06,2.6707710341076817e-06,40.864411305999965,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.2550569264849813e-11,0.01216163931770088,0.10330200438015995,0.10258361778600295,0.10964418021347025,0.9421567490316176,0.9356047679528376,8.150725000000003,8.162886639317703
0.0005,0.0803,variance_corrected,11,5000,10.0,18.096627359002014,0.9999985049025656,0.9999985049025656,1.4950974344118961e-06,1.759017377178306e-06,1.4950974327613878e-06,11.152453415998025,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.26387076320792247,0.27970052442037235,0.09276100304060884,0.11323420501281381,2.4701063109748587,0.8191959578831487,8.157975000000002,8.421845763207925
0.0005,0.0803,joint_gaussian,11,5000,10.0,18.096627359002014,0.9999973295410705,0.9999973295410705,2.670458929543429e-06,2.8042287283081915e-06,2.670458927383918e-06,36.5705408819922,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3445942071023115e-11,0.005598918732755085,0.09301837076292256,0.09284971409978887,0.11323420501281381,0.8214688375513072,0.8199793877590417,8.157975000000002,8.163573918732757
0.0005,0.0803,variance_corrected,13,5000,10.0,17.48548054099956,0.9999985062629124,0.9999985062629124,1.4937370875767186e-06,1.7703834080218583e-06,1.4937370842650896e-06,10.895873244997347,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.27751391719494806,0.29745028293469233,0.10706398358478922,0.11848416070403603,2.5104645310160856,0.9036143139185203,8.144675000000001,8.422188917194948
0.0005,0.0803,joint_gaussian,13,5000,10.0,17.48548054099956,0.9999973319413941,0.9999973319413941,2.668058605936885e-06,2.8222702426364694e-06,2.6680586028853246e-06,36.188623188005295,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.3448539779359052e-11,0.019226161726672318,0.10867537614191444,0.10696117092125734,0.11848416070403603,0.9172143811979802,0.9027465805192122,8.144675000000001,8.163901161726672
0.001,0.1606,variance_corrected,7,5000,10.0,18.136993578998954,0.9999985889801277,0.9999985889801277,1.4110198722772083e-06,1.705959415433874e-06,1.4110198694363813e-06,10.903923942008987,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2712169755689974,0.29420205581150916,0.1140008851146526,0.12273876221055852,2.3969775359703003,0.928809147668313,8.177000000000001,8.448216975568998
0.001,0.1606,joint_gaussian,7,5000,10.0,18.136993578998954,0.9999974693728749,0.9999974693728749,2.5306271250746804e-06,2.7261328863783706e-06,2.5306271233142422e-06,37.116719213998294,2.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,1.0812829615450515e-11,0.011295598598908347,0.11420455742280977,0.11364457923030113,0.12273876221055852,0.9304685444594243,0.9259061863060318,8.177000000000001,8.188295598598911
0.001,0.1606,variance_corrected,11,5000,10.0,21.76540289100376,0.9999985893586018,0.9999985893586018,1.4106413982473143e-06,1.6850130283291602e-06,1.4106413965574702e-06,15.568742963005207,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.26466995889562633,0.2837480163804755,0.10228758310783415,0.12554302468496067,2.2601655256635445,0.8147611813919249,8.184350000000002,8.449019958895628
0.001,0.1606,joint_gaussian,11,5000,10.0,21.76540289100376,0.9999974699475793,0.9999974699475793,2.530052420679496e-06,2.6944752493773156e-06,2.530052419351759e-06,37.43267342699983,2.0,False,0.001,0.0001,2.0,True,-8.271806125530277e-25,9.115061535301935e-12,0.00471504234814617,0.1024844133074639,0.10237589240944507,0.12554302468496067,0.8163290120230864,0.815464600015401,8.184350000000002,8.18906504234815
0.001,0.1606,variance_corrected,13,5000,10.0,17.10832380699867,0.9999985903475155,0.9999985903475155,1.409652484518631e-06,1.6960804897969807e-06,1.4096524820520424e-06,10.700903291013674,2.0,True,0.001,0.0001,2.0,False,0.0,0.0,0.2784728942157158,0.3019625995892302,0.1167658286392408,0.13072080030529365,2.309981264527203,0.8932459743708613,8.170975,8.449447894215718
