kappa,Seed,Closure,N,Duration_s,MC_runtime_s,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max,dynamic_joint_moments,min_cov_eigenvalue,covariance_projection_total
0.5,3,variance_corrected,5000,8.0,21.056464182998752,0.17642678526895608,0.20815939528133565,0.11047136861446501,0.12747994088586542,1.6328796031346113,0.8665784424341048,8.2125,8.388926785268957,0.9999988051787272,0.9999988051787272,1.1948212728096763e-06,1.91404262436722e-06,1.1948212708270303e-06,9.331196543993428,0.5,True,0.001,0.0001,2.0,False,0.0,0.0
0.5,3,joint_gaussian,5000,8.0,21.056464182998752,0.03946795371876125,0.11700618197464233,0.11014865977185938,0.12747994088586542,0.9178399453401034,0.8640469944246132,8.2125,8.251967953718765,0.9999972707413672,0.9999972707413672,2.729258632760967e-06,3.6676578265260356e-06,2.72925863195575e-06,33.175812638000934,0.5,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,3.3816761862531512e-12
0.5,4,mean_only,5000,8.0,17.136239127998124,-1.117042194897066,1.120298498816919,0.08535491357260935,0.10099874671685848,11.092201985016526,0.8451086409210077,8.239566666666668,7.1225244717696015,0.9999818094734786,0.9999818094734786,1.8190526521411066e-05,1.6529750626932905e-05,1.8190526521375727e-05,11.834442745006527,0.5,False,0.001,0.0001,2.0,False,0.0,0.0
0.5,4,variance_corrected,5000,8.0,17.136239127998124,0.1548215877404319,0.1770880997972816,0.0859678489863723,0.10099874671685848,1.7533692798558507,0.8511773836894825,8.239566666666668,8.394388254407101,0.9999987962295855,0.9999987962295855,1.2037704144596262e-06,1.9380347823492093e-06,1.2037704126282173e-06,10.027852314000484,0.5,True,0.001,0.0001,2.0,False,0.0,0.0
0.5,4,joint_gaussian,5000,8.0,17.136239127998124,0.017753615767347596,0.0876440215556517,0.0858270565826006,0.10099874671685848,0.8677733576373414,0.8497833821959154,8.239566666666668,8.257320282434016,0.9999972522094888,0.9999972522094888,2.7477905112371914e-06,3.7101762753286984e-06,2.74779050988079e-06,32.33889579799143,0.5,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,3.3635048379378963e-12
1.0,0,mean_only,5000,8.0,15.16748322499916,-1.0761053701065035,1.0811007101049455,0.10380740733378518,0.13306787335818251,8.12443065949447,0.7801087122987521,8.2001,7.123994629893498,0.9999819764051108,0.9999819764051108,1.8023594889227113e-05,1.6288571742187022e-05,1.802359488789987e-05,9.496819001986296,1.0,False,0.001,0.0001,2.0,False,0.0,0.0
1.0,0,variance_corrected,5000,8.0,15.16748322499916,0.19597928494017097,0.2211819836347238,0.10253579745108789,0.13306787335818251,1.6621741826395773,0.7705526124633361,8.2001,8.396079284940173,0.9999988096896287,0.9999988096896287,1.1903103712684882e-06,1.9035519464484862e-06,1.190310369276709e-06,11.443744096002774,1.0,True,0.001,0.0001,2.0,False,0.0,0.0
1.0,0,joint_gaussian,5000,8.0,15.16748322499916,-0.006356234606866398,0.10287259233318809,0.10267603680982619,0.13306787335818251,0.7730836131744817,0.7716065059028202,8.2001,8.193743765393135,0.9999976187321407,0.9999976187321407,2.3812678593415626e-06,3.3010840772733936e-06,2.381267858950626e-06,32.21180188200378,1.0,False,0.001,0.0001,2.0,True,-1.6543612251060553e-24,6.733451635370456e-12
1.0,1,mean_only,5000,8.0,17.568941022997024,-1.05905708393589,1.063166340435203,0.09338501164315112,0.11457604980828445,9.279132438359998,0.8150482740451302,8.197533333333332,7.138476249397445,0.9999824830450345,0.9999824830450345,1.7516954965546283e-05,1.611523514527169e-05,1.751695496399585e-05,9.578871752004488,1.0,False,0.001,0.0001,2.0,False,0.0,0.0
1.0,1,variance_corrected,5000,8.0,17.568941022997024,0.21537301509750373,0.2343388803399781,0.09235353380788963,0.11457604980828445,2.0452693275085676,0.8060457134141134,8.197533333333332,8.412906348430838,0.9999988502898636,0.9999988502898636,1.1497101364277285e-06,1.8684904315357258e-06,1.1497101333596834e-06,10.737885638998705,1.0,True,0.001,0.0001,2.0,False,0.0,0.0
