amplitude,time_s,input_u,mc_hz,mean_only_hz,variance_corrected_hz,joint_gaussian_hz
0.006,5.135000000000001,0.006,8.257765145763688,7.156096810274076,8.4333663618947,8.17553342523148
0.006,5.136,0.006,8.258447672123605,7.156096790556738,8.433366360375068,8.175533422603491
0.006,5.1370000000000005,0.006,8.258986389354813,7.1560967708394125,8.43336635885545,8.17553341997551
0.006,5.138,0.006,8.259398244848251,7.156096751122079,8.433366357335828,8.175533417347513
0.006,5.139,0.006,8.259672805389963,7.156096731404748,8.433366355816196,8.17553341471951
0.006,5.140000000000001,0.006,8.259804562594582,7.156096711687414,8.43336635429658,8.17553341209153
0.006,5.141,0.006,8.259800380548839,7.156096691970081,8.433366352776956,8.175533409463531
0.006,5.142,0.006,8.259664159798602,7.156096672252747,8.433366351257334,8.175533406835545
0.006,5.143000000000001,0.006,8.259387861882287,7.156096652535413,8.433366349737708,8.175533404207552
0.006,5.144,0.006,8.25898511559055,7.156096632818084,8.433366348218089,8.175533401579562
0.006,5.1450000000000005,0.006,8.258467371857837,7.156096613100756,8.433366346698463,8.17553339895157
0.006,5.146,0.006,8.257829945267689,7.156096593383422,8.433366345178834,8.175533396323583
0.006,5.147,0.006,8.257076075111572,7.156096573666093,8.433366343659218,8.17553339369559
0.006,5.148000000000001,0.006,8.256199549147071,7.1560965539487595,8.433366342139596,8.1755333910676
0.006,5.149,0.006,8.255224531028446,7.156096534231438,8.433366340619976,8.17553338843961
0.006,5.15,0.006,8.254141403302853,7.1560965145141076,8.433366339100345,8.175533385811626
0.006,5.151000000000001,0.006,8.252970091845514,7.156096494796776,8.433366337580727,8.175533383183623
0.006,5.152,0.006,8.251714283958249,7.156096475079445,8.433366336061109,8.175533380555636
0.006,5.1530000000000005,0.006,8.250373633474284,7.156096455362116,8.433366334541482,8.17553337792765
0.006,5.154,0.006,8.248960461502874,7.156096435644786,8.433366333021858,8.175533375299658
0.006,5.155,0.006,8.247475777954076,7.156096415927459,8.43336633150223,8.17553337267166
0.006,5.156000000000001,0.006,8.245933322384872,7.156096396210134,8.433366329982611,8.175533370043672
0.006,5.157,0.006,8.244337722051913,7.1560963764927985,8.43336632846299,8.175533367415687
0.006,5.158,0.006,8.242694380135635,7.156096356775474,8.433366326943364,8.175533364787695
0.006,5.159,0.006,8.24101286325622,7.156096337058144,8.43336632542375,8.1755333621597
0.006,5.16,0.006,8.23929609032816,7.156096317340822,8.433366323904115,8.175533359531713
0.006,5.1610000000000005,0.006,8.237553022734327,7.1560962976234865,8.433366322384494,8.175533356903719
0.006,5.162,0.006,8.235786321608709,7.1560962779061645,8.433366320864875,8.17553335427573
0.006,5.163,0.006,8.234005084436449,7.156096258188833,8.43336631934526,8.175533351647736
0.006,5.164000000000001,0.006,8.23222422211786,7.156096238471513,8.43336631782563,8.175533349019748
0.006,5.165,0.006,8.230443534290357,7.15609621875418,8.43336631630601,8.175533346391756
0.006,5.166,0.006,8.228661856562681,7.156096199036852,8.433366314786381,8.17553334376377
0.006,5.167,0.006,8.226881022753451,7.156096179319524,8.433366313266758,8.175533341135774
0.006,5.168,0.006,8.225125535316263,7.1560961596022,8.433366311747136,8.175533338507787
0.006,5.1690000000000005,0.006,8.223384923231686,7.156096139884874,8.433366310227509,8.1755333358798
0.006,5.17,0.006,8.221664789227276,7.156096120167546,8.433366308707884,8.175533333251812
0.006,5.171,0.006,8.219965709917968,7.156096100450219,8.433366307188262,8.175533330623812
0.006,5.172000000000001,0.006,8.21830236620835,7.156096080732893,8.433366305668649,8.175533327995824
0.006,5.173,0.006,8.21666491385041,7.156096061015571,8.433366304149022,8.175533325367839
0.006,5.174,0.006,8.215058890691093,7.15609604129824,8.433366302629397,8.175533322739845
0.006,5.175,0.006,8.213479001048874,7.156096021580916,8.433366301109777,8.175533320111855
0.006,5.176,0.006,8.211938133160144,7.156096001863585,8.433366299590162,8.175533317483861
0.006,5.1770000000000005,0.006,8.210434929908935,7.156095982146268,8.433366298070533,8.17553331485587
0.006,5.178,0.006,8.20896218902714,7.1560959624289415,8.433366296550906,8.17553331222788
0.006,5.179,0.006,8.207527884503964,7.156095942711615,8.43336629503128,8.175533309599889
0.006,5.180000000000001,0.006,8.20611884529472,7.156095922994286,8.433366293511659,8.175533306971902
0.006,5.181,0.006,8.20474635459756,7.1560959032769675,8.43336629199204,8.175533304343917
0.006,5.182,0.006,8.203405632332442,7.156095883559643,8.433366290472419,8.175533301715921
0.006,5.183,0.006,8.202085341044052,7.156095863842322,8.43336628895279,8.175533299087931
0.006,5.184,0.006,8.200791340092273,7.1560958441249936,8.433366287433177,8.175533296459935
0.006,5.1850000000000005,0.006,8.199526024314006,7.156095824407669,8.433366285913543,8.175533293831949
0.006,5.186,0.006,8.198283064152697,7.1560958046903504,8.433366284393925,8.175533291203966
0.006,5.187,0.006,8.197052151783375,7.1560957849730205,8.433366282874303,8.175533288575972
0.006,5.188000000000001,0.006,8.19583289672011,7.156095765255701,8.433366281354681,8.175533285947976
0.006,5.189,0.006,8.19462337513807,7.156095745538375,8.433366279835054,8.175533283319988
0.006,5.19,0.006,8.193417987442462,7.156095725821048,8.433366278315432,8.175533280691997
0.006,5.191,0.006,8.192204318313895,7.156095706103731,8.433366276795809,8.175533278064007
0.006,5.192,0.006,8.190990357374108,7.156095686386403,8.433366275276189,8.175533275436017
0.006,5.1930000000000005,0.006,8.189773698087894,7.1560956666690805,8.433366273756562,8.175533272808023
0.006,5.194,0.006,8.188542594054013,7.1560956469517505,8.43336627223694,8.175533270180043
0.006,5.195,0.006,8.187292806725802,7.156095627234441,8.433366270717318,8.17553326755204
0.006,5.196000000000001,0.006,8.186033218124697,7.156095607517114,8.433366269197693,8.175533264924054
0.006,5.197,0.006,8.184745999049776,7.156095587799793,8.433366267678071,8.175533262296062
0.006,5.198,0.006,8.18342901809784,7.1560955680824705,8.433366266158451,8.175533259668077
0.006,5.199,0.006,8.18208164546521,7.156095548365153,8.433366264638824,8.175533257040081
0.006,5.2,0.006,8.180699006306911,7.1560955286478265,8.433366263119208,8.175533254412096
0.006,5.2010000000000005,0.006,8.17927103486185,7.156095508930508,8.433366261599582,8.175533251784103
0.006,5.202,0.006,8.17780274336206,7.156095489213186,8.43336626007996,8.175533249156112
0.006,5.203,0.006,8.17629293073994,7.156095469495862,8.433366258560335,8.175533246528119
0.006,5.204000000000001,0.006,8.174743385034272,7.1560954497785385,8.433366257040714,8.175533243900132
0.006,5.205,0.006,8.173141246114444,7.1560954300612165,8.433366255521092,8.175533241272142
0.006,5.206,0.006,8.171496762465898,7.156095410343902,8.433366254001463,8.175533238644153
0.006,5.207,0.006,8.169809805302618,7.156095390626577,8.433366252481852,8.175533236016154
0.006,5.208,0.006,8.1680780461285,7.156095370909257,8.43336625096222,8.175533233388169
0.006,5.2090000000000005,0.006,8.166304764096873,7.156095351191941,8.433366249442605,8.175533230760182
0.006,5.21,0.006,8.16448624431448,7.156095331474618,8.433366247922983,8.175533228132194
0.006,5.211,0.006,8.162636286244354,7.156095311757293,8.433366246403354,8.175533225504196
0.006,5.212000000000001,0.006,8.160749310697705,7.156095292039975,8.433366244883736,8.175533222876211
0.006,5.213,0.006,8.158826939668725,7.156095272322658,8.433366243364105,8.175533220248225
0.006,5.214,0.006,8.156875047341954,7.1560952526053345,8.433366241844489,8.175533217620229
0.006,5.215,0.006,8.154906634733724,7.156095232888017,8.43336624032486,8.175533214992235
0.006,5.216,0.006,8.152918947167327,7.156095213170696,8.433366238805236,8.17553321236425
0.006,5.2170000000000005,0.006,8.150921967786491,7.1560951934533765,8.433366237285622,8.175533209736264
0.006,5.218,0.006,8.14891546589262,7.156095173736054,8.433366235765993,8.175533207108275
0.006,5.219,0.006,8.146916420572685,7.156095154018732,8.433366234246384,8.175533204480278
0.006,5.220000000000001,0.006,8.144927190804816,7.156095134301419,8.433366232726756,8.175533201852291
0.006,5.221,0.006,8.142956790716434,7.1560951145840965,8.433366231207135,8.1755331992243
0.006,5.222,0.006,8.141016410018171,7.156095094866774,8.4333662296875,8.17553319659631
0.006,5.223,0.006,8.139105122705923,7.156095075149461,8.433366228167884,8.175533193968315
0.006,5.224,0.006,8.137229582950523,7.156095055432143,8.433366226648262,8.17553319134033
0.006,5.2250000000000005,0.006,8.135404555355736,7.1560950357148245,8.433366225128639,8.175533188712334
0.006,5.226,0.006,8.133633741061594,7.156095015997503,8.433366223609012,8.17553318608435
0.006,5.227,0.006,8.131927324736012,7.1560949962801805,8.433366222089388,8.175533183456363
