chi_target,theta1,sigma,Seed,Closure,mc_mean_hz,bias_hz_50ms,rmse_hz_50ms,crmse_hz_50ms,mc_std_hz_50ms,nrmse_50ms,centered_nrmse_50ms,mc_mean_hz_50ms,closure_mean_hz_50ms,mass_min,mass_final,mass_error_max,tail_mass_max,cum_leak_final,runtime_s,pde_kappa,use_jensen,dr,dt,R_max
0.18,2500.0,0.0024,0,mean_only,8.156433333333334,-1.025540503208301,1.029503085723344,0.09024012296729077,0.11338490475629916,9.07971910313881,0.7958742229509826,8.156433333333334,7.130892830125033,0.999981902463064,0.999981902463064,1.8097536936045877e-05,1.6328079486457506e-05,1.809753693539503e-05,6.471732402998896,2.0,False,0.001,0.0001,2.0
0.18,2500.0,0.0024,0,variance_corrected,8.156433333333334,0.24765731150658868,0.26391082640890784,0.09118541743700669,0.11338490475629916,2.327565798781924,0.8042112628042829,8.156433333333334,8.404090644839922,0.999998803988914,0.999998803988914,1.19601108594658e-06,1.909703843459094e-06,1.1960110840273041e-06,6.616909412998211,2.0,True,0.001,0.0001,2.0
0.18,2500.0,0.0024,1,mean_only,8.143766666666668,-1.014107657952844,1.0195187057736907,0.10490018829277266,0.12037293406973915,8.469667318925893,0.8714599266309966,8.143766666666668,7.129659008713824,0.9999820841042637,0.9999820841042637,1.7915895736297927e-05,1.5966891054120984e-05,1.791589573518453e-05,6.3946194969976204,2.0,False,0.001,0.0001,2.0
0.18,2500.0,0.0024,1,variance_corrected,8.143766666666668,0.2588936510361734,0.2797173897287473,0.10590512532367835,0.12037293406973915,2.32375651462222,0.879808456461826,8.143766666666668,8.402660317702841,0.9999988184504999,0.9999988184504999,1.1815495001288312e-06,1.8594845394004948e-06,1.1815494986969533e-06,6.612373591000505,2.0,True,0.001,0.0001,2.0
0.405,1500.0,0.006,0,mean_only,9.546333333333337,-2.427060648642899,2.4290464454298686,0.09820000949383088,0.11577732922730581,20.98032889203134,0.8481799515433168,9.546333333333337,7.1192726846904355,0.9999818568591802,0.9999818568591802,1.8143140819826264e-05,1.5972814665110584e-05,1.8143140818223732e-05,6.401493651999772,2.0,False,0.001,0.0001,2.0
0.405,1500.0,0.006,0,variance_corrected,9.546333333333337,0.7036269359355812,0.7102983658389656,0.0971231359636334,0.11577732922730581,6.135038444741074,0.8388787045946741,9.546333333333337,10.249960269268916,0.9999999820305054,0.9999999820305054,1.7969494559011423e-08,6.871112574622413e-08,1.7969493258699293e-08,6.595401320002566,2.0,True,0.001,0.0001,2.0
0.405,1500.0,0.006,1,mean_only,9.550133333333337,-2.4259412528826028,2.4281341775395955,0.10317277595508126,0.11189829269720733,21.699474755258667,0.9220227893401645,9.550133333333337,7.124192080450734,0.9999818561296383,0.9999818561296383,1.8143870361697623e-05,1.6238835528957188e-05,1.8143870359662365e-05,6.436818664999009,2.0,False,0.001,0.0001,2.0
0.405,1500.0,0.006,1,variance_corrected,9.550133333333337,0.7066570876933472,0.7142694206378963,0.10400271953729459,0.11189829269720733,6.38320213312533,0.9294397352310113,9.550133333333337,10.25679042102668,0.9999999820264487,0.9999999820264487,1.7973551313943403e-08,6.85742005222163e-08,1.797355054767459e-08,6.728914416002226,2.0,True,0.001,0.0001,2.0
0.405,2000.0,0.0045000000000000005,0,mean_only,9.517200000000003,-2.3933113177236893,2.395078951185055,0.09200064600535784,0.10719283639863025,22.34364750157558,0.8582723351327745,9.517200000000003,7.1238886822763146,0.9999819119466108,0.9999819119466108,1.8088053389209158e-05,1.594438373623089e-05,1.808805338844543e-05,6.4239696389995515,2.0,False,0.001,0.0001,2.0
0.405,2000.0,0.0045000000000000005,0,variance_corrected,9.517200000000003,0.7391466176810607,0.7452095470849496,0.09486594034321957,0.10719283639863025,6.952046163921381,0.885002613331648,9.517200000000003,10.256346617681064,0.9999999821116954,0.9999999821116954,1.78883046153544e-08,6.855678271853458e-08,1.7888300315093345e-08,6.489967642999545,2.0,True,0.001,0.0001,2.0
0.405,2000.0,0.0045000000000000005,1,mean_only,9.500533333333337,-2.3773183009282235,2.3796515133430547,0.10535189142884444,0.12427224617543503,19.148696403086674,0.8477507623071305,9.500533333333337,7.1232150324051124,0.9999819328255126,0.9999819328255126,1.806717448737949e-05,1.582533803829804e-05,1.806717448543053e-05,6.363426026000525,2.0,False,0.001,0.0001,2.0
0.405,2000.0,0.0045000000000000005,1,variance_corrected,9.500533333333337,0.7548744944393155,0.7619959775938173,0.10393443853769035,0.12427224617543503,6.131666571135346,0.8363447329258553,9.500533333333337,10.255407827772652,0.9999999821420664,0.9999999821420664,1.785793357633736e-08,6.726593320913354e-08,1.7857932443954593e-08,6.61137684699861,2.0,True,0.001,0.0001,2.0
0.405,2500.0,0.0036000000000000003,0,mean_only,9.547400000000003,-2.4165071698749694,2.4184940267287547,0.09801252606444194,0.12059452000004908,20.05475892874544,0.8127444436480368,9.547400000000003,7.130892830125033,0.999981902463064,0.999981902463064,1.8097536936045877e-05,1.6328079486457506e-05,1.809753693539503e-05,6.523909079001896,2.0,False,0.001,0.0001,2.0
0.405,2500.0,0.0036000000000000003,0,variance_corrected,9.547400000000003,0.7186321944781635,0.7258027106143179,0.1017710361281151,0.12059452000004908,6.0185380779659186,0.8439109515761883,9.547400000000003,10.266032194478166,0.9999999820996845,0.9999999820996845,1.7900315452124005e-08,7.099553422838473e-08,1.7900312696161095e-08,6.613601954999467,2.0,True,0.001,0.0001,2.0
0.405,2500.0,0.0036000000000000003,1,mean_only,9.525300000000003,-2.3956409912861787,2.3981716967795705,0.11014412423718856,0.132056602185166,18.160180234055414,0.8340675317599616,9.525300000000003,7.129659008713824,0.9999820841042637,0.9999820841042637,1.7915895736297927e-05,1.5966891054120984e-05,1.791589573518453e-05,6.482757136000146,2.0,False,0.001,0.0001,2.0
0.405,2500.0,0.0036000000000000003,1,variance_corrected,9.525300000000003,0.7390312617240676,0.7473038022617569,0.11088627989707207,0.132056602185166,5.6589658517330985,0.839687513249739,9.525300000000003,10.26433126172407,0.9999999823725365,0.9999999823725365,1.7627463488878448e-08,6.865819461396205e-08,1.7627460520090807e-08,6.581209960000706,2.0,True,0.001,0.0001,2.0
