age_s,count,mean_v,mean_a,var_v,var_a,cov_va,term_v,term_a,term_cov,hazard_empirical_hz,hazard_mean_hz,hazard_voltage_only_hz,hazard_full_gaussian_hz
0.2475,396627.0,-2.4562069495008286e-05,-3.6138127836836444e-06,8.835953708118551e-08,5.849533901973768e-10,2.923312387264961e-09,0.176719074162371,0.028089461797278035,-0.05729692279039323,8.446007313758981,7.288452353468536,8.697279716062521,8.4469281223668
0.2525,385044.0,-2.390411159438596e-05,-3.6648869358496405e-06,8.863060523731323e-08,5.862161058919202e-10,2.9309482671812378e-09,0.17726121047462645,0.02815009740493001,-0.05744658603675226,8.464568306437561,7.301703439301963,8.717817145712115,8.466120628885811
0.2575,364044.0,-2.3674178728262364e-05,-3.689795224572398e-06,8.801129481593955e-08,5.83398713690182e-10,2.8963152331344043e-09,0.17602258963187908,0.02801480623140254,-0.056767778569434324,8.463534894266402,7.306845406962908,8.71315737673395,8.46619565947389
0.2625,349877.0,-2.3731682934949796e-05,-3.74738278951033e-06,8.828229594274408e-08,5.860701733191815e-10,2.9163557532019268e-09,0.17656459188548815,0.028143089722787094,-0.057160572762757766,8.470426317120218,7.31012947371464,8.721799465490141,8.472351476798819
0.2675,334342.0,-2.359637284551788e-05,-3.817179139103216e-06,8.795385221426019e-08,5.830782450191062e-10,2.912404457959971e-09,0.17590770442852038,0.02799941732581748,-0.05708312737601544,8.47077525011053,7.317111233662042,8.724396654063558,8.474313137424407
0.2725,323301.0,-2.378903757405567e-05,-3.8782185328931466e-06,8.806359140502756e-08,5.855694431120454e-10,2.9030220258543522e-09,0.1761271828100551,0.028119044658240423,-0.0568992317067453,8.47878904568186,7.31866889486953,8.728169331419354,8.480551323344429
0.2775,307259.0,-2.332919616170071e-05,-3.9347897348277725e-06,8.806177537999508e-08,5.821889242213229e-10,2.887878537876637e-09,0.17612355075999014,0.027956712141107926,-0.05660241934238209,8.495265218071161,7.32946515805827,8.74101309612172,8.494172928944984
0.28250000000000003,295341.0,-2.3034042849541877e-05,-3.964275096089967e-06,8.827738307220643e-08,5.841107756539025e-10,2.9024137509276765e-09,0.17655476614441284,0.0280489994469004,-0.05688730951818246,8.503089110812516,7.335912520837535,8.752475515268458,8.503673667609297
0.28750000000000003,282037.0,-2.3690470139334186e-05,-3.991452829751946e-06,8.82767252592425e-08,5.812518226490665e-10,2.8835584750093337e-09,0.176553450518485,0.027911712523608172,-0.05651774611018294,8.497912093987843,7.328239410264846,8.743309225904403,8.496741307363918
0.2925,273730.0,-2.4510181774075407e-05,-4.041725054173245e-06,8.852161660511855e-08,5.828281095773376e-10,2.8972782383904246e-09,0.1770432332102371,0.02798740582190375,-0.05678665347245232,8.48920989428974,7.319840528286867,8.737566996200673,8.489520559628627
0.2975,258828.0,-2.320805180438674e-05,-4.061288281647775e-06,8.809845382786046e-08,5.807381370508095e-10,2.9039400388260905e-09,0.17619690765572094,0.027887045341179872,-0.056917224760991376,8.50518731278648,7.340335290966943,8.754618845970672,8.504124233697354
